DivisionAb,DivisionName,DivisionId,state,WinningParty2022,WinningParty2019,WinningPercent2022,WinningPercent2019,ChangedWinningParty,ChangeInWinningPercent,2022WinningPartyOwnChangeInPercent,avg_age,avg_educ_years,avg_weekly_income,erp,net_migration
MONC,Moncrieff,172.0,QLD,LNP,LNP,0.6536080679728892,0.6460766637924277,0,0.0075314041804614,0.0075314041804614,47.83315000288002,10.779833740010076,1708.6956198861576,624157.1699999999,4972.22
MORE,Moreton,173.0,QLD,ALP,ALP,0.5190198804086406,0.5401809716645504,0,-0.0211610912559098,-0.0211610912559098,45.45096564627679,11.295133053084845,2034.2906822911737,1259736.39,-8106.12
OXLE,Oxley,174.0,QLD,ALP,ALP,0.5639450747323884,0.590114780979152,0,-0.0261697062467636,-0.0261697062467636,45.47859670066839,11.101159730889094,1904.483069091472,855792.72,-3192.12
PETR,Petrie,175.0,QLD,LNP,LNP,0.583983779048594,0.5164829243585184,0,0.0675008546900756,0.0675008546900756,47.395120821266566,10.836912159599514,1780.0752122676747,665507.94,1369.3200000000002
RANK,Rankin,176.0,QLD,ALP,ALP,0.5643500188536953,0.6129730868735587,0,-0.0486230680198633,-0.0486230680198633,46.61957131701393,11.062424980284227,1790.825800875804,606863.48,-492.6400000000003
RYAN,Ryan,177.0,QLD,LNP,LNP,0.5602534586107482,0.5897768719158979,0,-0.0295234133051497,-0.0295234133051497,45.45096564627679,11.295133053084845,2034.2906822911737,1259736.39,-8106.12
WBAY,Wide Bay,178.0,QLD,LNP,LNP,0.6314875575251406,0.5818796924875241,0,0.0496078650376164,0.0496078650376164,52.75366514975831,10.212453036974022,1254.7682874111754,73148.82,1099.69
WRIG,Wright,316.0,QLD,LNP,LNP,0.6457742045348993,0.5961525396861342,0,0.049621664848765,0.049621664848765,50.82545573210795,10.730188080357491,1568.702275605969,103956.38,782.4200000000001
ADEL,Adelaide,179.0,SA,ALP,ALP,0.5818381989345126,0.583035312970237,0,-0.0011971140357244,-0.0011971140357244,47.75049142561007,11.27217708051708,1755.2700051129552,73548.1,-486.97
BARK,Barker,180.0,SA,LP,LP,0.6894459901955218,0.534262418872289,0,0.1551835713232328,0.1551835713232328,52.599700490203794,10.634511815889624,1329.187426000219,7277.360000000001,-10.86
BOOT,Boothby,182.0,SA,LP,LP,0.5137777295459273,0.5270611147176111,0,-0.0132833851716838,-0.0132833851716838,50.62045824664296,11.331129361328252,1885.1611306605848,72247.50000000001,-244.84
GREY,Grey,183.0,SA,LP,LP,0.6332131429620965,0.5107479429433704,0,0.122465200018726,0.122465200018726,47.701940555364274,10.707921333125,1134.795555100728,2893.4,-39.57000000000001
