DivisionAb,DivisionName,DivisionId,state,WinningParty2022,WinningParty2019,WinningPercent2022,WinningPercent2019,ChangedWinningParty,ChangeInWinningPercent,2022WinningPartyOwnChangeInPercent,avg_age,avg_educ_years,avg_weekly_income,erp,net_migration,electorate,sentiment
BONN,Bonner,310.0,QLD,LNP,LNP,0.5740919659825666,0.5338953831095886,0,0.040196582872978,0.040196582872978,45.91006630937049,11.409225306146308,2054.839073021388,1272461.0,-8188.0,Bonner,0.45026666666666665
BOWM,Bowman,155.0,QLD,LNP,LNP,0.6023754563296353,0.5707013268345519,0,0.0316741294950834,0.0316741294950834,50.754420907635605,10.992429912740295,1820.851164136429,161463.0,659.0,Bowman,0.21097865168539326
BRIS,Brisbane,156.0,QLD,LNP,LNP,0.5492021146169463,0.5599773526561632,0,-0.0107752380392168,-0.0107752380392168,45.91006630937049,11.409225306146308,2054.839073021388,1272461.0,-8188.0,Brisbane,0.43193766233766234
CAPR,Capricornia,157.0,QLD,LNP,LNP,0.6235458091202356,0.50630978578165,0,0.1172360233385856,0.1172360233385856,46.354799365844194,10.872616649176711,1986.710513766842,31524.68458187685,-122.87987745628632,Capricornia,0.12475576208178439
DAWS,Dawson,158.0,QLD,LNP,LNP,0.6460816423000304,0.5336793940953383,0,0.1124022482046921,0.1124022482046921,50.14558349127192,10.723809690658213,1553.4034056087562,45247.56474398776,-1.3457833911595465,Dawson,0.1018962555066079
DICK,Dickson,252.0,QLD,LNP,LNP,0.5463547468746132,0.5169329141127026,0,0.0294218327619105,0.0294218327619105,49.15770933380763,10.944186602870811,1739.0727496520833,486645.0,4506.0,Dickson,0.37930833333333336
FADD,Fadden,159.0,QLD,LNP,LNP,0.6417623338682468,0.6124234572348164,0,0.0293388766334303,0.0293388766334303,49.31252577616497,11.113230659804202,1761.5418761712965,643461.0,5126.0,Fadden,0.11887238791971486
FAIR,Fairfax,160.0,QLD,LNP,LNP,0.634412126177796,0.6087319024280322,0,0.0256802237497637,0.0256802237497637,52.25712923160773,10.98205342044758,1695.3111696514418,343590.0,6085.0,Fairfax,0.06783322841726616
FISH,Fisher,161.0,QLD,LNP,LNP,0.6269687424279138,0.5915446262189754,0,0.0354241162089383,0.0354241162089383,52.25712923160773,10.98205342044758,1695.3111696514418,343590.0,6085.0,Fisher,0.18124454545454544
FLYN,Flynn,311.0,QLD,LNP,LNP,0.5865611411069005,0.5104078213572625,0,0.076153319749638,0.076153319749638,48.67702769985949,10.69615606246184,1683.598759937788,30282.01905197541,-243.6037392840995,Flynn,0.11101744548286605
FORD,Forde,162.0,QLD,LNP,LNP,0.5859571306836804,0.5063282087951376,0,0.0796289218885427,0.0796289218885427,47.87409808095515,11.002733156087825,1717.8672269556134,467637.9903546383,3563.2134425190825,Forde,0.26498374999999996
GRIF,Griffith,163.0,QLD,ALP,ALP,0.5286145938946164,0.5143209820101949,0,0.0142936118844214,0.0142936118844214,45.91006630937049,11.409225306146308,2054.839073021388,1272461.0,-8188.0,Griffith,0.346354716981132
GROO,Groom,164.0,QLD,LNP,LNP,0.7048235688542452,0.6530516071761263,0,0.0517719616781189,0.0517719616781189,50.10163917445684,10.818474483263216,1588.3805027068831,171135.0,-90.0,Groom,0.26526207951070346
HERB,Herbert,165.0,QLD,LNP,ALP,0.5835808392353972,0.5002094252691398,1,0.0833714139662573,0.0837902645045369,46.98186896386834,11.009206346764705,1717.523672237166,197992.0,-92.0,Herbert,0.11596026252983292
HINK,Hinkler,166.0,QLD,LNP,LNP,0.6450085263992528,0.5837630879824973,0,0.0612454384167554,0.0612454384167554,54.22540486386176,10.487139188385882,1315.7661998061965,101471.56459949944,1028.559712745075,Hinkler,0.22494170403587457
KENN,Kennedy,167.0,QLD,KAP,KAP,0.6333036063862183,0.6100223683771242,0,0.023281238009094,0.023281238009094,51.27800699028428,10.527305341455666,1490.711684485978,6153.737022861336,-39.42343973794733,Kennedy,0.12699126160567994
LEIC,Leichhardt,168.0,QLD,LNP,LNP,0.5417163223255554,0.5394719806024082,0,0.0022443417231472,0.0022443417231472,50.09887766298507,10.677289490316358,1281.6453630514802,5168.520298006221,15.353492904034956,Leichhardt,0.1676154004106776
LILL,Lilley,169.0,QLD,ALP,ALP,0.5063609544019461,0.5567538973096687,0,-0.0503929429077226,-0.0503929429077226,45.91006630937049,11.409225306146308,2054.839073021388,1272461.0,-8188.0,Lilley,0.0964605299271614
LONG,Longman,302.0,QLD,LNP,ALP,0.5327728053521381,0.5078916291956216,1,0.0248811761565165,0.0406644345477597,49.2520526563893,10.94533923191224,1737.7406897844887,482290.5451481423,4554.063221915231,Longman,-0.0035072847682119054
MARA,Maranoa,170.0,QLD,LNP,LNP,0.7248706338939198,0.6586191962153939,0,0.0662514376785259,0.0662514376785259,51.996466354909245,10.596765319640468,1485.6267884117574,6209.866073769272,-40.01374065542612,Maranoa,0.2883351351351352
MCPH,McPherson,171.0,QLD,LNP,LNP,0.6219669048107997,0.6163582264499695,0,0.0056086783608302,0.0056086783608302,49.31252577616497,11.113230659804202,1761.5418761712965,643461.0,5126.0,McPherson,0.1437142857142857
MONC,Moncrieff,172.0,QLD,LNP,LNP,0.6536080679728892,0.6460766637924277,0,0.0075314041804614,0.0075314041804614,49.31252577616497,11.113230659804202,1761.5418761712965,643461.0,5126.0,Moncrieff,0.32408148148148147
MORE,Moreton,173.0,QLD,ALP,ALP,0.5190198804086406,0.5401809716645504,0,-0.0211610912559098,-0.0211610912559098,45.91006630937049,11.409225306146308,2054.839073021388,1272461.0,-8188.0,Moreton,0.6050171875000002
